Beispiel,Kennzeichen
"Objekt zur Erfassung und Darstellung von
Informationen",B
Erkennungsobjekt,B
Erkennungsobjekt für elektrisches Potential,BA
"Objekt zur Erkennung von
elektrischem Potential",BA
Kopplungskondensator,BA
 Messspannungsrelais,BA
Spannungswandler für Messzwecke,BA
 Spannungsrelais,BA
Spannungswandler,BA
"Erkennungsobjekt für Widerstand oder
Leitfähigkeit",BB
"Objekt zur Erkennung von
Widerstand",BB
Detektor für elektrischen Widerstand,BB
 Sensor für elektrischenWiderstand,BB
 Detektor für thermischen Widerstand,BB
Erkennungsobjekt für elektrischen Strom,BC
"Objekt zur Erkennung von
elektrischem Strom",BC
elektronisches Überlastrelais,BC
 Messstromrelais,BC
 Stromwandler fürMesszwecke,BC
 Überlastrelais,BC
Erkennungsobjekt für Dichte,BD
Dichteerkennungsobjekt,BD
Senkwage,BD
 Dichtesensor,BD
 Dichteschalter,BD
 Dichtewandler,BD
Hydrometer,BD
Erkennungsobjekt für Spannungsfeld,BE
Spannungsfelderkennungsobjekt,BE
Spannungsfelddetektor,BE
 Spannungsfeldsensor,BE
 Magnetfeld-detektor,BE
 Magnetfeldsensor,BE
 Reedrelais,BE
 Reedschalter,BE
Erkennungsobjekt für Durchfluss,BF
Durchflusserkennungsobjekt,BF
Durchflusssensor,BF
 Durchflussschalter,BF
 Durchflussmesswertgeber,BF
Gasflusssensor,BF
 Gasflussschalter,BF
 Flüssigkeitsflusssensor,BF
Stoffflusssensor,BF
 Feststoffflussschalter,BF
 Wasserflusssensor,BF
"Erkennungsobjekt für räumliche Dimension
und/oder Position",BG
"Objekt zur Erkennung von
physikalischen Dimensionen",BG
2D-Scanner,BG
 3D-Scanner,BG
 Ausrichtungssensor,BG
 Ausrichtungs-schwellendetektor,BG
 Winkelschalter,BG
 Winkelmesswertgeber,BG
 Ko-ordinatenscanner,BG
 Distanzschalter,BG
 Distanzmesswertgeber,BG
 End-stopp,BG
 Laserabstandserkennungsschalter,BG
 Laserabstandssensor,BG
Laserscanner,BG
 Bewegungsdetektor,BG
 Bewegungssensor (PIR),BG
Objektscanner,BG
 Positionssensor,BG
 Positionsschalter,BG
Positionsmesswertgeber,BG
 Anwesenheitsanzeige,BG
 Anwesenheitser-kennung,BG
 Radar,BG
 Drehgeber,BG
 Sichtbarkeitssensor,BG
Windrichtungsanzeige,BG
 Windrichtungssensor,BG
Erkennungsobjekt für Energie,BH
Energieerkennungsobjekt,BH
Kondensatsensor,BH
 Stromflussmesswertgeber,BH
 Kühlungsenergie-Messgerät,BH
 Energiezähler,BH
 Energiesensor,BH
 Strömungsenergie-zähler,BH
 Gasenergiezähler,BH
 kWh-Zähler,BH
 Wärmeenergiezähler,BH
Erkennungsobjekt für Leistung,BJ
Leistungserkennungsobjekt,BJ
kW-Zähler,BJ
 Leistungsbegrenzungsschalter,BJ
 Leistungszähler,BJ
Erkennungsobjekt für Zeit,BK
Zeiterkennungsobjekt,BK
Uhr,BK
 Zeitzähler,BK
 Zeitinformationsgerät,BK
 Zeitmessgerät,BK
 Zeitschalter,BK
Erkennungsobjekt für Füllstand,BL
Füllstandserkennungsobjekt,BL
Füllstandssensor,BL
 Füllstandsschalter,BL
 Füllstandsmesswertgeber,BL
Flüssigkeitsstandssensor,BL
 Flüssigkeitsstandsschalter,BL
Erkennungsobjekt für Feuchte,BM
Feuchteerkennungsobjekt,BM
Feuchtesensor,BM
 Feuchteschalter,BM
 Feuchtemesswertgeber,BM
Erkennungsobjekt für Druck,BP
Druckerkennungsobjekt,BP
Absolutdrucksensor,BP
 Absolutdruckschalter,BP
 Absolutdruckmess-wertgeber,BP
